Location,Job_Listing
Orange County,FISH AND WILDLIFE SCIENTIFIC AID
Kern County,FOOD ADMINISTRATOR I (CORRECTIONAL FACILITY)
Sacramento County,FORESTRY AIDE
Santa Cruz County,FORESTRY AIDE
Shasta County,FORESTRY AND FIRE PROTECTION A
Mendocino County,FORESTRY TECHNICIAN
Sacramento County,GROUNDSKEEPER (CORRECTIONAL FACILITY)
Contra Costa County,HEALTH EDUCATION CONSULTANT II
San Diego County,HEARING REPORTER
Santa Cruz County,HEAVY FIRE EQUIPMENT OPERATOR
San Mateo County,HEAVY FIRE EQUIPMENT OPERATOR
Sacramento County,HOUSING AND COMMUNITY DEVELOPMENT REPRESENTATIVE I
Kern County,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (LAUNDRY)"
Yolo County,INFORMATION TECHNOLOGY SPECIALIST I
Sacramento County,INFORMATION TECHNOLOGY SPECIALIST II
Yolo County,INFORMATION TECHNOLOGY SUPERVISOR II
Sacramento County,INFORMATION TECHNOLOGY SUPERVISOR II
San Diego County,LEGAL SUPPORT SUPERVISOR I
Kings County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Madera County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Sacramento County,MECHANICAL ENGINEER
San Luis Obispo County,PSYCHIATRIC TECHNICIAN (SAFETY)
Sacramento County,SENIOR PERSONNEL SPECIALIST
Sacramento County,YOUTH AID
Riverside County,ACCOUNTANT I (SPECIALIST)
Riverside County,HEAVY EQUIPMENT MECHANIC (CORRECTIONAL FACILITY)
Riverside County,STATIONARY ENGINEER (CORRECTIONAL FACILITY)
Riverside County,ELECTRICIAN III (CORRECTIONAL FACILITY)
Sacramento County,OFFICE SERVICES SUPERVISOR I (TYPING)                    
Los Angeles County,"ACTIVITY COORDINATOR, VETERANS HOME AND MEDICAL CENTER"
Riverside County,AIR POLLUTION SPECIALIST
Yolo County,ASSOCIATE ARCHITECT
Inyo County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Yuba County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Yolo County,ASSOCIATE PERSONNEL ANALYST
Humboldt County,ASSOCIATE STATE ARCHAEOLOGIST
San Francisco County,ATTORNEY II
Sacramento County,ATTORNEY II
United States,ATTORNEY SUPERVISOR
Alameda County,"ATTORNEY, ASSISTANT CHIEF COUNSEL"
Fresno County,AUDITOR I
Sacramento County,AUDITOR I
Solano County,CARPENTER III (CORRECTIONAL FACILITY)
Orange County,COMMUNITY PROGRAM SPECIALIST III
Los Angeles County,CONSERVANCY PROJECT DEVELOPMENT ANALYST II
Riverside County,CORRECTIONAL COUNSELOR I
Solano County,CORRECTIONAL SERGEANT
Los Angeles County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
San Francisco County,CRIME ANALYST I
San Francisco County,CRIME ANALYST II
Sacramento County,CRIME ANALYST II
Alameda County,CUSTODIAN I
San Luis Obispo County,CUSTODIAN I
San Francisco County,CUSTODIAN I
San Diego County,ELECTRICAL ENGINEERING TECHNICIAN I
Lassen County,ELECTRICIAN II (CORRECTIONAL FACILITY)
Sacramento County,ELECTRICIAN III (CORRECTIONAL FACILITY)
Imperial County,EMPLOYMENT PROGRAM REPRESENTATIVE
Sacramento County,"FIELD REPRESENTATIVE, DEPARTMENT OF JUSTICE"
Riverside County,"FIELD REPRESENTATIVE, DEPARTMENT OF JUSTICE"
San Bernardino County,FORESTER II (SUPERVISORY)
Fresno County,FORESTER II (SUPERVISORY)
Riverside County,FORESTER II (SUPERVISORY)
Butte County,HEALTH FACILITIES EVALUATOR NURSE
Sacramento County,HEALTH FACILITIES EVALUATOR NURSE
Sonoma County,HEALTH FACILITIES EVALUATOR NURSE
Contra Costa County,HEALTH FACILITIES EVALUATOR NURSE
San Francisco County,HEALTH FACILITIES EVALUATOR NURSE
Santa Clara County,HEALTH FACILITIES EVALUATOR NURSE
Kern County,HEALTH FACILITIES EVALUATOR NURSE
Fresno County,HEALTH FACILITIES EVALUATOR NURSE
Ventura County,HEALTH FACILITIES EVALUATOR NURSE
Riverside County,HEALTH FACILITIES EVALUATOR NURSE
San Bernardino County,HEALTH FACILITIES EVALUATOR NURSE
Orange County,HEALTH FACILITIES EVALUATOR NURSE
San Diego County,HEALTH FACILITIES EVALUATOR NURSE
San Joaquin County,HEALTH FACILITIES EVALUATOR NURSE
Butte County,MANAGEMENT SERVICES TECHNICIAN
Kings County,MEDICAL ASSISTANT
Napa County,PAINTER I
Yolo County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Sacramento County,STUDENT ASSISTANT -ENGINEERING AND ARCHITECTURAL SCIENCES-
San Luis Obispo County,ACCOUNTANT TRAINEE
Alameda County,ACCOUNTING OFFICER (SPECIALIST)
Ventura County,"ADMINISTRATOR, VETERANS HOME OF CALIFORNIA, VENTURA"
Sacramento County,AGRICULTURE PROGRAM SUPERVISOR I
Sacramento County,ASSISTANT CHIEF
Riverside County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Humboldt County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Sacramento County,"ASSOCIATE INSURANCE COMPLIANCE OFFICER, DEPARTMENT OF INSURANCE"
Kern County,ASSOCIATE OIL AND GAS ENGINEER
Sacramento County,ASSOCIATE PARK AND RECREATION SPECIALIST
Los Angeles County,"ASSOCIATE TAX AUDITOR , EMPLOYMENT DEVELOPMENT DEPARTMENT"
Yolo County,ATTORNEY III
Marin County,BOAT OPERATOR
Tulare County,CALTRANS ELECTRICIAN I
Humboldt County,CALTRANS EQUIPMENT OPERATOR I
San Diego County,CALTRANS HIGHWAY MAINTENANCE WORKER
San Luis Obispo County,CALTRANS HIGHWAY MAINTENANCE WORKER
Kern County,CALTRANS MAINTENANCE SUPERVISOR
Alameda County,CALTRANS MAINTENANCE SUPERVISOR
Kings County,CASE RECORDS TECHNICIAN
San Diego County,CERTIFIED NURSING ASSISTANT
Yolo County,"CONTROL CASHIER I (MOTOR VEHICLE SERVICES), DEPARTMENT OF MOTOR VEHICLES"
Napa County,COOK SPECIALIST II
Riverside County,"CORRECTIONAL ADMINISTRATOR, DEPARTMENT OF CORRECTIONS"
Madera County,"CORRECTIONAL ADMINISTRATOR, DEPARTMENT OF CORRECTIONS"
Tuolumne County,CORRECTIONAL COUNSELOR I
Riverside County,CORRECTIONAL COUNSELOR II (SUPERVISOR)
Riverside County,CORRECTIONAL COUNSELOR III
Sacramento County,CRIME ANALYST I
Solano County,OFFICE TECHNICIAN (TYPING)
Kern County,TELEVISION SPECIALIST
Fresno County,ACCOUNTANT I (SPECIALIST)
Kings County,ACCOUNTANT TRAINEE
Yolo County,ACCOUNTING OFFICER (SPECIALIST)
Amador County,ADMINISTRATIVE ASSISTANT I
Orange County,AGRICULTURAL AIDE (SEASONAL)
Orange County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Riverside County,AGRICULTURAL TECHNICIAN I (SEASONAL)
San Diego County,APPRENTICESHIP CONSULTANT
Yolo County,ATTORNEY
Riverside County,AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES)
Yolo County,"BUSINESS TAXES ADMINISTRATOR I, BOARD OF EQUALIZATION"
United States,"BUSINESS TAXES SPECIALIST III, BOARD OF EQUALIZATION"
Alameda County,CALTRANS ELECTRICIAN I
Shasta County,CALTRANS ELECTRICIAN II
Siskiyou County,CALTRANS EQUIPMENT OPERATOR II
San Diego County,CALTRANS HEAVY EQUIPMENT MECHANIC
San Francisco County,CALTRANS HEAVY EQUIPMENT MECHANIC
Mendocino County,CALTRANS HIGHWAY MAINTENANCE WORKER
Humboldt County,CALTRANS HIGHWAY MAINTENANCE WORKER
Riverside County,CALTRANS HIGHWAY MAINTENANCE WORKER
Yuba County,CALTRANS MAINTENANCE AREA SUPERINTENDENT
Riverside County,CARPENTER II (CORRECTIONAL FACILITY)
Kern County,CASE RECORDS TECHNICIAN
Lassen County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Los Angeles County,CLINICAL SOCIAL WORKER (HEALTH FACILITY)
Orange County,COMMUNITY PROGRAM SPECIALIST IV
Alpine County,COOK SPECIALIST II
Madera County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Sacramento County,CRIME ANALYST SUPERVISOR
Fresno County,"ENGINEER, WATER RESOURCES"
Kern County,MUSLIM CHAPLAIN
Napa County,OFFICE TECHNICIAN (TYPING)
United States,SENIOR WORKERS' COMPENSATION CLAIMS ADJUSTER
Tuolumne County,ACCOUNTANT I (SPECIALIST)
San Francisco County,ACCOUNTING ADMINISTRATOR I (SUPERVISOR)
Riverside County,ADMINISTRATIVE ASSISTANT I
Los Angeles County,ADMINISTRATIVE ASSISTANT I
Sacramento County,AIR RESOURCES ENGINEER                                 (MAND)
Sacramento County,AIR RESOURCES SUPERVISOR I
Monterey County,ASSISTANT CORRECTIONAL FOOD MANAGER (DEPT OF CORRECTIONS)
Orange County,ASSISTANT SAFETY ENGINEER
San Bernardino County,ASSISTANT SAFETY ENGINEER
San Diego County,ASSISTANT SAFETY ENGINEER
Los Angeles County,ASSISTANT SAFETY ENGINEER
San Francisco County,ASSISTANT SAFETY ENGINEER
San Mateo County,ASSISTANT SAFETY ENGINEER
Napa County,ASSISTANT SAFETY ENGINEER
Alameda County,ASSISTANT SAFETY ENGINEER
Kern County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Yuba County,ASSOCIATE RIGHT OF WAY AGENT
Tuolumne County,BATTALION CHIEF
Yolo County,C. E. A.
Orange County,CALTRANS ELECTRICIAN I
Fresno County,CALTRANS EQUIPMENT OPERATOR I
Nevada County,CALTRANS EQUIPMENT OPERATOR II
Placer County,CALTRANS EQUIPMENT OPERATOR II
Nevada County,CALTRANS MAINTENANCE AREA SUPERINTENDENT
Yuba County,CALTRANS MAINTENANCE SUPERVISOR
San Joaquin County,CERTIFIED NURSING ASSISTANT
Sacramento County,"CHIEF EXECUTIVE OFFICER, HEALTH CARE (SAFETY)"
Sacramento County,"CHIEF PSYCHOLOGIST, CORRECTIONAL FACILITY"
San Francisco County,Communications Editor
Sacramento County,Communications Editor
Los Angeles County,COMMUNICATIONS OPERATOR
San Diego County,CORRECTIONAL SERGEANT
Los Angeles County,CORRECTIONAL SERGEANT
Kern County,CUSTODIAN II
Nevada County,"DISPATCHER-CLERK, CALTRANS"
Contra Costa County,DRIVER SAFETY HEARING OFFICER
Sacramento County,EDUCATION RESEARCH AND EVALUATION ADMINISTRATOR I
Sacramento County,EDUCATION RESEARCH AND EVALUATION CONSULTANT
Sacramento County,ELECTRIC GENERATION SYSTEM SPECIALIST III
Los Angeles County,ELECTRICIAN I
Sacramento County,ELECTRICIAN I
Monterey County,ELECTRICIAN II (CORRECTIONAL FACILITY)
San Joaquin County,ENGINEERING GEOLOGIST
Fresno County,ENVIRONMENTAL SCIENTIST
Mariposa County,HEAVY EQUIPMENT MECHANIC
Sacramento County,MAILING MACHINES OPERATOR I
Fresno County,MEDICAL ASSISTANT
Sacramento County,OFFICE ASSISTANT (TYPING)
Butte County,PARK MAINTENANCE WORKER I
Kings County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Mariposa County,SEASONAL CLERK
Tulare County,SENIOR PSYCHIATRIST (SPECIALIST)
San Luis Obispo County,STAFF PSYCHIATRIST (SAFETY)
Fresno County,STAFF SERVICES ANALYST
Imperial County,TEACHER (HIGH SCHOOL-GENERAL EDUCATION) (CORRECTIONAL FACILITY)
Sacramento County,TRANSPORTATION SURVEYOR (CALTRANS)
Kings County,ACCOUNTANT I (SPECIALIST)
Sacramento County,"ADMINISTRATIVE OFFICER I, RESOURCES AGENCY"
Sacramento County,"AIR QUALITY ENGINEER I, DEPARTMENT OF CONSUMER AFFAIRS"
Madera County,ASSISTANT CORRECTIONAL FOOD MANAGER (DEPT OF CORRECTIONS)
Los Angeles County,ASSOCIATE CONSTRUCTION ANALYST
San Joaquin County,ASSOCIATE ENVIRONMENTAL PLANNER
Sacramento County,ATTORNEY SUPERVISOR
United States,"ATTORNEY, ASSISTANT CHIEF COUNSEL"
Fresno County,AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES)
Sacramento County,BUSINESS SERVICE ASSISTANT (SPECIALIST)
Yolo County,BUSINESS SERVICE OFFICER I (SUPERVISOR)
United States,"BUSINESS TAXES SPECIALIST I, BOARD OF EQUALIZATION"
United States,"BUSINESS TAXES SPECIALIST II, BOARD OF EQUALIZATION"
Kern County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
San Diego County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Tuolumne County,CERTIFIED NURSING ASSISTANT
Sacramento County,CONSERVATIONIST I
San Diego County,COOK SPECIALIST II
Kings County,"CORRECTIONAL BUSINESS MANAGER I, DEPARTMENT OF CORRECTIONS"
Madera County,CORRECTIONAL CASE RECORDS SUPERVISOR
Humboldt County,CORRECTIONAL OFFICER
San Diego County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Lassen County,"DENTAL ASSISTANT, CORRECTIONAL FACILITY"
Sacramento County,JUNIOR ENGINEERING TECHNICIAN
Yolo County,JUNIOR ENGINEERING TECHNICIAN
Alameda County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Solano County,STAFF SERVICES ANALYST
Humboldt County,TRANSPORTATION ENGINEER (CIVIL)
United States,TRANSPORTATION ENGINEER (CIVIL)
Sacramento County,ADMINISTRATIVE ASSISTANT I
United States,ADMINISTRATIVE LAW JUDGE
Kern County,AGRICULTURE PROGRAM SUPERVISOR I
Sacramento County,"Assistant Secretary, Public and Employee Communications"
Sacramento County,ATTORNEY V
Tuolumne County,AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES)
San Luis Obispo County,AUTOMOTIVE TECHNICIAN II
El Dorado County,CALTRANS EQUIPMENT OPERATOR II
Yolo County,CALTRANS EQUIPMENT OPERATOR II
Sacramento County,CALTRANS EQUIPMENT OPERATOR II
Solano County,CALTRANS HEAVY EQUIPMENT MECHANIC
Colusa County,CALTRANS HEAVY EQUIPMENT MECHANIC
Orange County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
San Joaquin County,CALTRANS HIGHWAY MAINTENANCE WORKER
Orange County,CALTRANS HIGHWAY MAINTENANCE WORKER
Sacramento County,CALTRANS HIGHWAY MAINTENANCE WORKER
Yolo County,CALTRANS HIGHWAY MAINTENANCE WORKER
El Dorado County,CALTRANS HIGHWAY MAINTENANCE WORKER
San Luis Obispo County,CALTRANS MAINTENANCE SUPERVISOR
Fresno County,"CAPTAIN, ADULT INSTITUTION"
Riverside County,"CAPTAIN, ADULT INSTITUTION"
Amador County,"CAPTAIN, ADULT INSTITUTION"
Imperial County,CHIEF ENGINEER I (CORRECTIONAL FACILITY)
San Joaquin County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Ventura County,COASTAL PROGRAM ANALYST I
United States,COASTAL PROGRAM ANALYST III
El Dorado County,COOK SPECIALIST I
El Dorado County,COOK SPECIALIST II
Monterey County,CORRECTIONAL SERGEANT
Sacramento County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
El Dorado County,CUSTODIAN I
Los Angeles County,CUSTODIAN SUPERVISOR I
Sacramento County,CUSTODIAN SUPERVISOR II
Marin County,ELECTRICIAN II (CORRECTIONAL FACILITY)
Monterey County,EMPLOYMENT PROGRAM REPRESENTATIVE
Stanislaus County,ENVIRONMENTAL SCIENTIST
United States,FAIR EMPLOYMENT AND HOUSING CONSULTANT III (SPECIALIST)
Los Angeles County,FIRE AND LIFE SAFETY OFFICER II (HEALTH FACILITIES CONSTRUCTION)
Sacramento County,FISH AND WILDLIFE INTERPRETER II
Riverside County,FISH AND WILDLIFE SCIENTIFIC AID
San Luis Obispo County,FOOD ADMINISTRATOR I (CORRECTIONAL FACILITY)
Lassen County,FOOD ADMINISTRATOR I (CORRECTIONAL FACILITY)
Madera County,HEALTH PROGRAM SPECIALIST I
Sacramento County,ACCOUNT CLERK II
San Bernardino County,ACCOUNTANT I (SPECIALIST)
San Luis Obispo County,ACCOUNTANT I (SPECIALIST)
Sacramento County,"BUSINESS TAXES ADMINISTRATOR I, BOARD OF EQUALIZATION"
Sacramento County,"BUSINESS TAXES SPECIALIST III, BOARD OF EQUALIZATION"
Sacramento County,SENIOR PAYROLL SPECIALIST
Kern County,STAFF SERVICES MANAGER I
Los Angeles County,"ADMINISTRATOR II, FRANCHISE TAX BOARD"
United States,AIR RESOURCES ENGINEER                                 (MAND)
Alameda County,ASSOCIATE ARCHITECT
San Bernardino County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Sacramento County,ASSOCIATE INDUSTRIAL HYGIENIST
Sacramento County,ASSOCIATE OIL AND GAS ENGINEER
Yolo County,ASSOCIATE SPACE PLANNER
Shasta County,CALTRANS EQUIPMENT OPERATOR II
Stanislaus County,CALTRANS EQUIPMENT OPERATOR II
Merced County,CALTRANS EQUIPMENT OPERATOR II
Ventura County,CALTRANS MAINTENANCE SUPERVISOR
United States,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Kern County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Solano County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Madera County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Monterey County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
San Bernardino County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Riverside County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Amador County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Sacramento County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
San Diego County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Imperial County,CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY
Fresno County,ASSISTANT CHIEF
Tuolumne County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Marin County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Los Angeles County,ASSOCIATE MANAGEMENT AUDITOR
Sacramento County,ASSOCIATE RIGHT OF WAY AGENT
San Luis Obispo County,BUILDING MAINTENANCE WORKER
Trinity County,CALTRANS EQUIPMENT OPERATOR II
Alameda County,CALTRANS EQUIPMENT OPERATOR II
Riverside County,CALTRANS MAINTENANCE AREA SUPERINTENDENT
Marin County,"CAPTAIN, ADULT INSTITUTION"
San Diego County,CARPENTER III (CORRECTIONAL FACILITY)
Los Angeles County,CERTIFIED NURSING ASSISTANT
Sacramento County,CLINICAL SOCIAL WORKER (HEALTH FACILITY)
San Francisco County,COASTAL PROGRAM ANALYST I
Ventura County,CONSERVATIONIST I
Marin County,CORRECTIONAL COUNSELOR II (SPECIALIST)
Marin County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Santa Clara County,DISABILITY INSURANCE SPECIALIST I
United States,GRADUATE STUDENT ASSISTANT
Contra Costa County,Hydroelectric Plant Technician II
Sacramento County,"PROGRAM MANAGER II, CALIFORNIA BAY DELTA AUTHORITY"
Solano County,"TAX TECHNICIAN II, BOARD OF EQUALIZATION"
San Joaquin County,PROGRAM DIRECTOR (MENTAL DISABILITIES-SAFETY)
Sacramento County,"PROGRAM MANAGER I, OFFICE OF EMERGENCY SERVICES"
Alameda County,RESEARCH DATA SPECIALIST II
Sacramento County,ACCOUNTING TECHNICIAN
San Mateo County,ASSISTANT CHIEF
Sacramento County,ASSISTANT TELECOMMUNICATIONS ENGINEER
Sacramento County,ASSOCIATE ENVIRONMENTAL PLANNER
United States,ASSOCIATE SAFETY ENGINEER (PRESSURE VESSELS)
Kings County,BUSINESS SERVICE ASSISTANT (SPECIALIST)
Humboldt County,CALTRANS EQUIPMENT OPERATOR II
Sacramento County,CALTRANS HIGHWAY MECHANIC SUPERVISOR
San Joaquin County,CALTRANS MAINTENANCE SUPERVISOR
San Bernardino County,CASE RECORDS TECHNICIAN
Solano County,CERTIFIED NURSING ASSISTANT
Lassen County,CERTIFIED NURSING ASSISTANT
Contra Costa County,CHIEF HYDROELECTRIC PLANT OPERATOR
United States,CHILD NUTRITION CONSULTANT
Sacramento County,COMMUNITY PROGRAM SPECIALIST II
Orange County,COMMUNITY PROGRAM SPECIALIST II
Lassen County,CORRECTIONAL FOOD MANAGER I DEPT OF CORRECTIONS
Sacramento County,CUSTODIAN SUPERVISOR I
Napa County,DIRECT CONSTRUCTION SUPERVISOR II
Sacramento County,ELECTRIC GENERATION SYSTEM SPECIALIST I
Riverside County,"EMERGENCY SERVICES COORDINATOR, OFFICE OF EMERGENCY SERVICES"
Sacramento County,EMPLOYMENT PROGRAM MANAGER I
Tehama County,"ENGINEER, WATER RESOURCES"
United States,ENVIRONMENTAL PROGRAM MANAGER I (MANAGERIAL)
Contra Costa County,EXAMINER II LABORATORY FIELD SERVICES
Sacramento County,GRADUATE STUDENT ASSISTANT
Alameda County,GROUNDSKEEPER
Butte County,HEALTH FACILITIES EVALUATOR II (SUPERVISOR)
United States,HEALTH FACILITIES EVALUATOR NURSE
Sacramento County,"MANAGER I, DEPARTMENT OF MOTOR VEHICLES"
Yolo County,"MATE, FISH AND GAME VESSEL"
Kings County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Yolo County,SENIOR ENVIRONMENTAL SCIENTIST (SUPERVISORY)
Kern County,TEACHING ASSISTANT (CORRECTIONAL FACILITY)
Los Angeles County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Tulare County,ASSISTANT CHIEF
Orange County,ASSOCIATE ENVIRONMENTAL PLANNER
Santa Cruz County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Humboldt County,ASSOCIATE TRANSPORTATION PLANNER
Los Angeles County,ATTORNEY IV
Alameda County,ATTORNEY SUPERVISOR
Los Angeles County,ATTORNEY SUPERVISOR
San Luis Obispo County,BEHAVIOR SPECIALIST II
Sacramento County,BUILDING MAINTENANCE WORKER
Riverside County,BUSINESS SERVICE ASSISTANT (SPECIALIST)
Riverside County,BUSINESS SERVICE OFFICER I (SUPERVISOR)
San Bernardino County,CALTRANS BRIDGE MAINTENANCE SUPERVISOR
Yolo County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Amador County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Lassen County,CALTRANS HIGHWAY MAINTENANCE WORKER
Shasta County,CALTRANS HIGHWAY MAINTENANCE WORKER
Los Angeles County,CHIEF OF PLANT OPERATION I
Kings County,CORRECTIONAL CASE RECORDS ANALYST
Kings County,CORRECTIONAL SERGEANT
Amador County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Santa Clara County,CUSTODIAN I
San Bernardino County,CUSTODIAN I
Alameda County,DEPUTY LABOR COMMISSIONER I
Riverside County,DISABILITY INSURANCE PROGRAM MANAGER II
Los Angeles County,"HEALTH PROGRAM AUDITOR IV, DEPARTMENT OF HEALTH SERVICES"
San Bernardino County,SPECIAL AGENT-IN-CHARGE
Merced County,STAFF SERVICES MANAGER I
San Diego County,ACCOUNTING OFFICER (SPECIALIST)
United States,AIR RESOURCES SUPERVISOR I
Sacramento County,ASSOCIATE PRINTING PLANT SUPERINTENDENT
Solano County,AUTOMOTIVE TECHNICIAN II
Placer County,BATTALION CHIEF
Sonoma County,CALTRANS LANDSCAPE MAINTENANCE WORKER
Shasta County,CALTRANS MAINTENANCE AREA SUPERINTENDENT
Monterey County,CONSERVATIONIST II
United States,CONSULTING PSYCHOLOGIST
Del Norte County,"CORRECTIONAL BUSINESS MANAGER I, DEPARTMENT OF CORRECTIONS"
Marin County,"CORRECTIONAL HEALTH SERVICES ADMINISTRATOR II, CORRECTIONAL FACILITY"
Imperial County,"DENTAL ASSISTANT, CORRECTIONAL FACILITY"
Humboldt County,"DISPATCHER-CLERK, CALTRANS"
Sacramento County,ELECTRICIAN II
Sacramento County,ENERGY ANALYST
Yuba County,ENVIRONMENTAL PROGRAM MANAGER I (MANAGERIAL)
Stanislaus County,FISH AND WILDLIFE SCIENTIFIC AID
San Joaquin County,FISH AND WILDLIFE SCIENTIFIC AID
Humboldt County,FORESTER II (SUPERVISORY)
Santa Cruz County,FORESTRY ASSISTANT II
Fresno County,GROUNDSKEEPER
Los Angeles County,GROUNDSKEEPER
Sacramento County,HEALTH FACILITIES EVALUATOR MANAGER II
Kern County,HEALTH PROGRAM SPECIALIST I
Riverside County,INFORMATION TECHNOLOGY ASSOCIATE
Alameda County,INFORMATION TECHNOLOGY ASSOCIATE
San Joaquin County,INFORMATION TECHNOLOGY ASSOCIATE
Kern County,INFORMATION TECHNOLOGY SPECIALIST I
United States,INFORMATION TECHNOLOGY SPECIALIST I
Sacramento County,INFORMATION TECHNOLOGY SPECIALIST III
United States,"INSPECTOR, BOARD OF PHARMACY"
Santa Cruz County,LABORER
Sacramento County,LEGAL ASSISTANT
United States,LEGAL SECRETARY
Fresno County,LICENSED VOCATIONAL NURSE                              (MAND)
Kern County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Imperial County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
San Diego County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Sacramento County,"CONTROL CASHIER II (VEHICLE REGISTRATION), DEPARTMENT OF MOTOR VEHICLES"
Merced County,"GUIDE II, HISTORICAL MONUMENT (SPECIALIST)"
Sacramento County,"HEALTH PROGRAM AUDIT MANAGER I, DEPARTMENT OF HEALTH SERVICES"
Sacramento County,OFFICE TECHNICIAN (GENERAL)
San Joaquin County,PHARMACY TECHNICIAN
Yolo County,SENIOR ENGINEERING GEOLOGIST
Kern County,SENIOR MOTOR VEHICLE TECHNICIAN
United States,ASSISTANT CHIEF
Amador County,ASSISTANT CHIEF
Sacramento County,ASSISTANT PROPERTY AUDITOR APPRAISER (BOARD OF EQUALIZATION)
San Francisco County,ASSOCIATE ANALYST
Sacramento County,ASSOCIATE ANALYST
Santa Clara County,ASSOCIATE BUSINESS MANAGEMENT ANALYST
Sacramento County,"ASSOCIATE PROGRAM AUDITOR, CalPERS"
Yolo County,BATTALION CHIEF
Sacramento County,BUSINESS MANAGER I
San Luis Obispo County,CHIEF ENGINEER I (CORRECTIONAL FACILITY)
San Luis Obispo County,"CHIEF PSYCHIATRIST, CORRECTIONAL AND REHAB SERVICES (SAFETY)"
Madera County,CORRECTIONAL COUNSELOR I
Nevada County,CORRECTIONAL SERGEANT
San Francisco County,DEPUTY ATTORNEY GENERAL
Sacramento County,DEPUTY ATTORNEY GENERAL IV
San Francisco County,DEPUTY ATTORNEY GENERAL IV
Los Angeles County,DEPUTY ATTORNEY GENERAL IV
San Diego County,DEPUTY ATTORNEY GENERAL IV
Kern County,"DISTRICT REPRESENTATIVE II, DIV CDS& STNDS (NON-PEACE OFFICER)"
Los Angeles County,"DISTRICT SALES REPRESENTATIVE, CA STATE LOTTERY"
Contra Costa County,"DISTRICT SALES SUPERVISOR, CALIFORNIA STATE LOTTERY"
Sacramento County,ENERGY RESOURCES SPECIALIST III MANAGERIAL
Fresno County,ENGINEERING GEOLOGIST
